Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage
Isaiah Hartenstein,IND,Under 9.5 PTS+AST,-112,Hit in 4 of his last 4 games,100%
Isaiah Hartenstein,IND,Under 14.5 PTS+REB,-112,Hit in 4 of his last 4 games,100%
Isaiah Hartenstein,IND,Under 16.5 PTS+AST+REB,-108,Hit in 4 of his last 4 games,100%
Luguentz Dort,IND,Over 10.5 PTS+AST,-104,Hit in 6 of his last 6 games vs IND,100%
Luguentz Dort,IND,Over 1.5 3PTM,-188,Hit in 3 of his last 4 games,75%
Luguentz Dort,IND,Over 12.5 PTS+REB,-112,Hit in 6 of his last 6 games vs IND,100%
Luguentz Dort,IND,Over 13.5 PTS+AST+REB,-122,Hit in 6 of his last 6 games vs IND,100%
Luguentz Dort,IND,Over 1.5 3PTM,-188,Hit in 4 of his last 4 games vs IND,100%
Luguentz Dort,IND,Over 8.5 Points,-132,Hit in 6 of his last 6 games vs IND,100%
Jalen Williams,IND,Over 11.5 REB+AST,-102,Hit in 5 of his last 5 home games,100%
Jalen Williams,IND,Under 27.5 PTS+AST,-110,Hit in 4 of his last 4 games vs IND,100%
Jalen Williams,IND,Under 28.5 PTS+REB,-122,Hit in 4 of his last 4 games vs IND,100%
Jalen Williams,IND,Under 5.5 Assists,-146,Hit in 5 of his last 5 games,100%
Jalen Williams,IND,Under 33.5 PTS+AST+REB,-110,Hit in 4 of his last 4 games vs IND,100%
Jalen Williams,IND,Under 22.5 Points,-128,Hit in 4 of his last 4 games vs IND,100%
Alex Caruso,IND,Over 5.5 REB+AST,-125,Hit in 5 of his last 5 games vs IND,100%
Alex Caruso,IND,Under 11.5 PTS+AST,-136,Hit in 5 of his last 5 games,100%
Alex Caruso,IND,Under 14.5 PTS+AST+REB,-128,Hit in 7 of his last 7 games,100%
Alex Caruso,IND,Over 2.5 Rebounds,-172,Hit in 5 of his last 5 games vs IND,100%
Cason Wallace,IND,Over 2.5 Assists,130,Hit in 4 of his last 4 home games,100%
Cason Wallace,IND,Under 3.5 Rebounds,-174,Hit in 6 of his last 6 games,100%
Cason Wallace,IND,Under 3.5 Rebounds,-174,Hit in 4 of his last 4 games vs IND,100%
Cason Wallace,IND,Over 0.5 3PTM,-225,Hit in 4 of his last 4 home games,100%
